"code","uri","cpc_code","label_en","label_fr"
"AUS",NA,"AUS","Australia","Australie"
"BGD",NA,"BGD","Bangladesh","Bangladesh"
"CHN",NA,"CHN","China","Chine"
"TWN",NA,"CHN","Taiwan,China","Taiwan,Chine"
"COM",NA,"COM","Comoros","Comores"
"EUESP",NA,"EU","EU (Spain)","UE (Espagne)"
"EUFRA",NA,"EU","EU (France)","UE (France)"
"EUITA",NA,"EU","EU (Italy)","UE (Italie)"
"EUPRT",NA,"EU","EU (Portugal)","UE (Portugal)"
"EUREU",NA,"EU","EU (France,Réunion)","UE (France,Réunion)"
"EUMYT",NA,"EU","EU (France,Mayotte)","UE (France,Mayotte"
"EUGBR",NA,"EU","EU (United Kingdom)","UE (Royaume Uni)"
"EUBGR",NA,"EU","EU (Bulgaria)","UE (Bulgarie)"
"EUDEU",NA,"EU","EU (Germany)","UE (Allemagne)"
"FRAT",NA,"FRAT","France (OT)","France (Territoires)"
"IND",NA,"IND","India","Inde"
"IDN",NA,"IDN","Indonesia","Indonésie"
"IRN",NA,"IRN","I.R. Iran","République Islamique d'Iran"
"JPN",NA,"JPN","Japan","Japon"
"KEN",NA,"KEN","Kenya","Kenya"
"KOR",NA,"KOR","Republic of Korea","République de Corée"
"MDG",NA,"MDG","Madagascar","Madagascar"
"MYS",NA,"MYS","Malaysia","Malaisie"
"MDV",NA,"MDV","Maldives","Maldives"
"MUS",NA,"MUS","Mauritius","Maurice"
"MOZ",NA,"MOZ","Mozambique","Mozambique"
"OMN",NA,"OMN","Sultanate of Oman","Sultanat d'Oman"
"PAK",NA,"PAK","Pakistan","Pakistan"
"PHL",NA,"PHL","Philippines","Philippines"
"SYC",NA,"SYC","Seychelles","Seychelles"
"LKA",NA,"LKA","Sri Lanka","Sri Lanka"
"ZAF",NA,"ZAF","South Africa","Afrique du Sud"
"TZA",NA,"TZA","United republic of Tanzania","République Unie de Tanzanie"
"THA",NA,"THA","Thailand","Thaïlande"
"GBR",NA,"GBR","United Kingdom of Great Britain and Northern Ireland","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord"
"GBRT",NA,"GBRT","United Kingdom (OT)","Royaume Uni (territoires d'outre mer)"
"YEM",NA,"YEM","Yemen","Yémen"
"ERI",NA,"ERI","Eritrea","Érythrée"
"SOM",NA,"SOM","Somalia","Somalie"
"SDN",NA,"SDN","Sudan","Soudan"
"BHR",NA,"BHR","Bahrain","Bahreïn"
"BLZ",NA,"BLZ","Belize","Belize"
"DJI",NA,"DJI","Djibouti","Djibouti"
"TMP",NA,"TMP","Timor Leste","Timor Leste"
"EGY",NA,"EGY","Egypt","Égypte"
"GIN",NA,"GIN","Guinea","Guinée"
"ISR",NA,"ISR","Israel","Israël"
"JOR",NA,"JOR","Jordan","Jordanie"
"KWT",NA,"KWT","Kuwait","Koweït"
"MMR",NA,"MMR","Myanmar","Myanmar"
"QAT",NA,"QAT","Qatar","Qatar"
"SAU",NA,"SAU","Saudi Arabia","Arabie saoudite"
"SEN",NA,"SEN","Senegal","Sénégal"
"SUN",NA,"SUN","Soviet Union","Union Soviétique"
"ARE",NA,"ARE","United Arab Emirates","Émirats arabes unis"
"VUT",NA,"VUT","Vanuatu","Vanuatu"
"NEIDN",NA,"NEIDN","NEI (Indonesia EEZ)","NCA (Indonésie ZEE)"
"NEISU",NA,"NEISU","NEI (ex-Soviet Union)","NCA (ex-Union soviétique)"
"NEICE",NA,"NEICE","NEI (fresh)","NCA (frais)"
"NEIFR",NA,"NEIFR","NEI (frozen)","NCA (congelé)"
"NEIPS",NA,"NEIPS","NEI (other)","NCA (autres)"
