"code","uri","label","definition","label_en","std_abb"
"10","","MISCELLANEOUS Gears","","MISCELLANEOUS Gears","-"
"10.1","","Harpoons","","Harpoons","HAR"
"10.2","","Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","","Hand implements (Wrenching gear, Clamps, Tongs, Rakes, Spears)","MHI"
"10.3","","Pumps","","Pumps","MPM"
"10.4","","Electric fishing","","Electric fishing","MEL"
"10.5","","Pushnets","","Pushnets","MPN"
"10.6","","Scoopnets","","Scoopnets","MSP"
"10.7","","Drive-in nets","","Drive-in nets","MDR"
"10.8","","Diving","","Diving","MDV"
"10.9","","Gear nei","","Gear nei","MIS"
"99","","GEAR NOT KNOWN","","GEAR NOT KNOWN","-"
"99.9","","Gear not known","","Gear not known","NK"
"01","","SURROUNDING NETS","","SURROUNDING NETS","-"
"01.1","","Purse seines","","Purse seines","PS"
"01.2","","Surrounding nets without purse lines","","Surrounding nets without purse lines","LA"
"01.9","","Surrounding nets (nei)","","Surrounding nets (nei)","SUX"
"02","","SEINE NETS","","SEINE NETS","-"
"02.1","","Beach seines","","Beach seines","SB"
"02.2","","Boat seines","","Boat seines","SV"
"02.9","","Seine nets nei","","Seine nets nei","SX"
"03","","TRAWLS","","TRAWLS","-"
"03.11","","Beam trawls","","Beam trawls","TBB"
"03.12","","Single boat bottom otter trawls","","Single boat bottom otter trawls","OTB"
"03.13","","Twin bottom otter trawls","","Twin bottom otter trawls","OTT"
"03.14","","Multiple bottom otter trawls","","Multiple bottom otter trawls","OTP"
"03.15","","Bottom pair trawls","","Bottom pair trawls","PTB"
"03.19","","Bottom trawls (nei)","","Bottom trawls (nei)","TB"
"03.21","","Single boat midwater otter trawls","","Single boat midwater otter trawls","OTM"
"03.22","","Midwater pair trawls","","Midwater pair trawls","PTM"
"03.29","","Midwater trawls (nei)","","Midwater trawls (nei)","TM"
"03.3","","Semipelagic trawls","","Semipelagic trawls","TSP"
"03.9","","Trawls (nei)","","Trawls (nei)","TX"
"04","","DREDGES","","DREDGES","-"
"04.1","","Towed dredges","","Towed dredges","DRB"
"04.2","","Hand dredges","","Hand dredges","DRH"
"04.3","","Mechanized dredges","","Mechanized dredges","DRM"
"04.9","","Dredges (nei)","","Dredges (nei)","DRX"
"05","","LIFT NETS","","LIFT NETS","-"
"05.1","","Portable lift nets","","Portable lift nets","LNP"
"05.2","","Boat-operated lift nets","","Boat-operated lift nets","LNB"
"05.3","","Shore-operated stationary lift nets","","Shore-operated stationary lift nets","LNS"
"05.9","","Lift nets (nei)","","Lift nets (nei)","LN"
"06","","FALLING GEAR","","FALLING GEAR","-"
"06.1","","Cast nets","","Cast nets","FCN"
"06.2","","Cover pots/Lantern nets","","Cover pots/Lantern nets","FCO"
"06.9","","Falling gear (nei)","","Falling gear (nei)","FG"
"07","","GILLNETS AND ENTANGLING NETS","","GILLNETS AND ENTANGLING NETS","-"
"07.1","","Set (anchored) gillnets","","Set (anchored) gillnets","GNS"
"07.2","","Drift gillnets","","Drift gillnets","GND"
"07.3","","Encircling gillnets","","Encircling gillnets","GNC"
"07.4","","Fixed (on stakes) gillnets","","Fixed (on stakes) gillnets","GNF"
"07.5","","Trammel nets","","Trammel nets","GTR"
"07.6","","Combined gillnets-trammel nets","","Combined gillnets-trammel nets","GTN"
"07.9","","Gillnets and entangling nets (nei)","","Gillnets and entangling nets (nei)","GEN"
"08","","TRAPS","","TRAPS","-"
"08.1","","Stationary uncovered pound nets","","Stationary uncovered pound nets","FPN"
"08.2","","Pots","","Pots","FPO"
"08.3","","Fyke nets","","Fyke nets","FYK"
"08.4","","Stow nets","","Stow nets","FSN"
"08.5","","Barriers, fences, weirs, etc,","","Barriers, fences, weirs, etc,","FWR"
"08.6","","Aerial traps","","Aerial traps","FAR"
"08.9","","Traps (nei)","","Traps (nei)","FIX"
"09","","HOOKS AND LINES","","HOOKS AND LINES","-"
"09.1","","Handlines and hand-operated pole-and-lines","","Handlines and hand-operated pole-and-lines","LHP"
"09.2","","Mechanized lines and pole-and-lines","","Mechanized lines and pole-and-lines","LHM"
"09.31","","Set longlines","","Set longlines","LLS"
"09.32","","Drifting longlines","","Drifting longlines","LLD"
"09.39","","Longlines (nei)","","Longlines (nei)","LL"
"09.4","","Vertical lines","","Vertical lines","LVT"
"09.5","","Trolling lines","","Trolling lines","LTL"
"09.9","","Hooks and lines (nei)","","Hooks and lines (nei)","LX"
