"code","uri","label_en","label_fr","definition_en","definition_fr"
"ABW",NA,"Aruba","Aruba","Aruba","Aruba"
"AFG",NA,"Afghanistan","Afghanistan (l')","the Islamic Republic of Afghanistan","la République islamique d'Afghanistan"
"AGO",NA,"Angola","Angola (l')","the Republic of Angola","la République d'Angola"
"AIA",NA,"Anguilla","Anguilla","Anguilla","Anguilla"
"ALA",NA,"Åland Islands (the)","Îles d'Åland (les)","the Åland Islands","les Îles d'Åland"
"ALB",NA,"Albania","Albanie (l')","the Republic of Albania","la République d'Albanie"
"AND",NA,"Andorra","Andorre (l')","the Principality of Andorra","la Principauté d'Andorre"
"ANT",NA,"Netherlands Antilles","Antilles néerlandaises","Netherlands Antilles","Antilles néerlandaises"
"ARE",NA,"United Arab Emirates (the)","Émirats arabes unis (les)","the United Arab Emirates","les Émirats arabes unis"
"ARG",NA,"Argentina","Argentine (l')","the Argentine Republic","la République argentine"
"ARM",NA,"Armenia","Arménie (l')","the Republic of Armenia","la République d'Arménie"
"ASM",NA,"American Samoa","Samoa américaines (les)","American Samoa","les Samoa américaines"
"ATA",NA,"Antarctica","Antarctique (l')","Antarctica","l'Antarctique"
"ATF",NA,"French Southern Territories (the)","Terres australes françaises (les)","the French Southern Territories","les Terres australes françaises"
"ATG",NA,"Antigua and Barbuda","Antigua-et-Barbuda","Antigua and Barbuda","Antigua-et-Barbuda"
"AUS",NA,"Australia","Australie (l')","Australia","l'Australie"
"AUT",NA,"Austria","Autriche (l')","the Republic of Austria","la République d'Autriche"
"AZE",NA,"Azerbaijan","Azerbaïdjan (l')","the Republic of Azerbaijan","la République d'Azerbaïdjan"
"BDI",NA,"Burundi","Burundi (le)","the Republic of Burundi","la République du Burundi"
"BEL",NA,"Belgium","Belgique (la)","the Kingdom of Belgium","le Royaume de Belgique"
"BEN",NA,"Benin","Bénin (le)","the Republic of Benin","la République du Bénin"
"BES",NA,"Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba","Bonaire, Sint Eustatius and Saba","Bonaire, Saint-Eustache et Saba"
"BFA",NA,"Burkina Faso","Burkina Faso (le)","Burkina Faso","le Burkina Faso"
"BGD",NA,"Bangladesh","Bangladesh (le)","the People's Republic of Bangladesh","la République populaire du Bangladesh"
"BGR",NA,"Bulgaria","Bulgarie (la)","the Republic of Bulgaria","la République de Bulgarie"
"BHR",NA,"Bahrain","Bahreïn","the Kingdom of Bahrain","le Royaume de Bahreïn"
"BHS",NA,"Bahamas (the)","Bahamas (les)","the Commonwealth of the Bahamas","le Commonwealth des Bahamas"
"BIH",NA,"Bosnia and Herzegovina","Bosnie-Herzégovine (la)","Bosnia and Herzegovina","la Bosnie-Herzégovine"
"BLM",NA,"Saint Barthélemy","Saint-Barthélemy","Saint Barthélemy","Saint-Barthélemy"
"BLR",NA,"Belarus","Bélarus (le)","the Republic of Belarus","la République du Bélarus"
"BLZ",NA,"Belize","Belize (le)","Belize","le Belize"
"BMU",NA,"Bermuda","Bermudes (les)","Bermuda","les Bermudes"
"BOL",NA,"Plurinational State of Bolivia (the)","État plurinational de Bolivie (l')","the Plurinational State of Bolivia","l'État plurinational de Bolivie"
"BRA",NA,"Brazil","Brésil (le)","the Federative Republic of Brazil","la République fédérative du Brésil"
"BRB",NA,"Barbados","Barbade (la)","Barbados","la Barbade"
"BRN",NA,"Brunei Darussalam","Brunéi Darussalam (le)","Brunei Darussalam","le Brunéi Darussalam"
"BTN",NA,"Bhutan","Bhoutan (le)","the Kingdom of Bhutan","le Royaume du Bhoutan"
"BVT",NA,"Bouvet Island","Île Bouvet (l')","Bouvet Island","l'Île Bouvet"
"BWA",NA,"Botswana","Botswana (le)","the Republic of Botswana","la République du Botswana"
"CAF",NA,"Central African Republic (the)","République centrafricaine (la)","the Central African Republic","la République centrafricaine"
"CAN",NA,"Canada","Canada (le)","Canada","le Canada"
"CCK",NA,"Cocos (Keeling) Islands (the)","Îles des Cocos (Keeling) (les)","the Cocos (Keeling) Islands","les Îles des Cocos (Keeling)"
"CHE",NA,"Switzerland","Suisse (la)","the Swiss Confederation","la Confédération suisse"
"CHL",NA,"Chile","Chili (le)","the Republic of Chile","la République du Chili"
"CHN",NA,"China","Chine (la)","the People's Republic of China","la République populaire de Chine"
"CIV",NA,"Côte d'Ivoire","Côte d'Ivoire (la)","the Republic of Côte d'Ivoire","la République de Côte d'Ivoire"
"CMR",NA,"Cameroon","Cameroun (le)","the Republic of Cameroon","la République du Cameroun"
"COD",NA,"Democratic Republic of the Congo (the)","République démocratique du Congo (la)","the Democratic Republic of the Congo","la République démocratique du Congo"
"COG",NA,"Congo (the)","Congo (le)","the Republic of the Congo","la République du Congo"
"COK",NA,"Cook Islands (the)","Îles Cook (les)","the Cook Islands","les Îles Cook"
"COL",NA,"Colombia","Colombie (la)","the Republic of Colombia","la République de Colombie"
"COM",NA,"Comoros (the)","Comores (les)","the Union of the Comoros","l'Union des Comores"
"CPV",NA,"Cabo Verde","Cabo Verde","the Republic of Cabo Verde","la République de Cabo Verde"
